station_name	latitude	longitude	avg_msmonth	avg_momonth	RHO_p_month	R2____month	R2adj_month	NSeff_month	RMSE__month	MAE___month	BIAS__month	NSeff_month_nb	RMSE__month_nb	MAE___month_nb	BIAS__month_nb	QRE7525_evalua	performance	ms_slope	mo_slope	layer	
433123112530101	43.522925	-112.8843833	143.684347322034	13.1191227939165	-0.797473875768681	0.635964582533527	0.634930391006633	-9365.7162294454	130.55950487732	130.55212660635	-130.55212660635	-0.0587413248688891	1.38806481334782	1.05263766126	0.0130979217669008	-0.95035091683798	4	-0.0811697080435851	0.00252331318699304	2	
433130112562801	43.52509444	-112.9420528	147.601869931034	3.91129852959864	-0.0351729912798214	0.00123713931557018	-0.00574721635355169	-144572.330014262	143.940450579583	143.939875785648	-143.939875785648	-0.58833297640724	0.477100137759875	0.374550501796753	-0.249304384212559	-0.0104144596053201	3	-0.0790637587489458	0.0168020099309056	2	
433208124134001	43.5353918	-124.2290048	1.53786632653061	12.668855883781	0.522259515179674	0.272755001195709	0.267739518445334	-211.381848179715	11.2059623506829	11.1856553858272	11.1856553858272	0.225904689137783	0.676530965477424	0.606020189789188	0.054665828576895	-0.337005879644785	1	0.0848314700390241	-0.0377048698208397	2	
433216112563301	43.53765	-112.9433222	147.702028860759	4.89992182268411	0.667475457187993	0.44552348594832	0.438322492259337	-12058.7824785806	143.034984557145	143.029916803161	-143.029916803161	0.11486340657258	1.22539945838521	1.15235378776478	-0.227809765085209	-0.866125994143901	2	-0.191378496240592	-0.00858149650323677	2	
433220112040701	43.53880556	-112.0694222	49.2359562827688	5.60709754510249	-0.0726773651328687	0.00528199940265624	0.00270500976380306	-309.225433891962	44.0645226081332	43.9904859715681	-43.9904859715681	-0.0624916828118618	2.57877314323223	2.18426724545804	-0.361627233901792	-0.760118407947287	4	-0.113966160608282	-0.00152599529302246	2	
433246112571201	43.5460833	-112.9541333	146.717820754491	4.78029195926631	-0.242958132678555	0.0590286542346505	0.0561944031931885	-7209.07315520847	141.945192036072	141.9349075487	-141.9349075487	-0.0447609173869918	1.70867438982259	1.34263366276985	0.00262124652514336	-0.894967390194887	4	-0.103682044383891	0.00575240097840935	2	
433250096453501	43.54719745	-96.760051	2.40141034285714	14.4093884773791	0.679025789032402	0.461076022171073	0.453150669555941	-919.90427886019	12.8024305473634	12.7980087713734	12.7980087713734	-3.14287692443249	0.858689591806917	0.790030636851418	0.790030636851418	1.92441655419198	2	0.117596816326491	0.0541271368956113	1	
433250112565601	43.54709167	-112.9495833	148.798835625	4.8203615695716	0.257069822491281	0.0660848936356938	0.0349543900902167	-711033.028938158	144.103644966158	144.103537634515	-144.103537634515	-0.594740584531986	0.21581160591259	0.188264303573662	-0.125063579086559	-0.169362411789584	3	-0.0234738333333335	0.0299037963371055	2	
433253112545901	43.54790556	-112.9173333	140.216704187919	3.88782571934216	-0.39091696103619	0.15281607042577	0.149953962555587	-7851.33465418098	136.306645552749	136.297419466021	-136.297419466021	-0.0633725859096186	1.58620881823972	1.20922905514186	0.0314590025565524	-0.872735849187264	4	-0.0923131703031082	0.00568322666628686	2	
433258073440201	43.54941667	-73.7339722	12.2483315555556	17.7304997664341	0.41293541756923	0.170515659083075	0.154564037142365	-77.4021534299248	5.43008352273408	5.39282620441131	5.39282620441131	-0.0934111137930949	0.641260155477081	0.497778017206521	-0.0893420064672759	0.137154307504543	3	-0.00400997460317495	-0.0327807403259302	2	
433300112583301	43.54993889	-112.9767167	155.152945014085	5.29393209454546	-0.221256956512522	0.0489546408051805	0.0351713747298931	-116441.413696383	149.91637185791	149.915651339875	-149.915651339875	-0.135892949662117	0.468233158598349	0.371280141719594	-0.0566384203359422	-0.431176977846043	3	-0.0867505154845164	0.00826648249941259	2	
433303089270501	43.5508151	-89.451509	0.52502816	5.732507645692	0.522195969924145	0.272688631005019	0.262725461566731	-535.617435483891	5.46124854592552	5.45028569919184	5.45028569919184	-2.21295616518999	0.422582932538336	0.322762979448302	0.242806213499833	0.580537665694969	2	-0.00439904292850066	0.0339663859656995	2	
433310116054201	43.5528333	-116.096111	16.7376230769231	24.6618344581555	0.435787840499571	0.189911041927273	0.173709262765819	-100.141497032001	7.94964321835565	7.91178421166899	7.91178421166899	0.0387037196889267	0.775017626687765	0.519395267159037	-0.0124271695634327	-0.94879608188171	4	0.0429316486332935	0.00697959827652218	2	
433314112561801	43.55394444	-112.9392444	144.033447818182	4.38505749875978	0.142903894857753	0.0204215231655151	0.00903107576046291	-10812.4732305255	139.746689659404	139.74034561054	-139.74034561054	0.0135466427808274	1.33474161704408	1.19790967465053	-0.0919552911174622	-0.933209274186366	4	-0.16811612450593	0.00776509153100057	2	
433314112563001	43.5539361	-112.9427028	144.0726862	4.59987817021362	0.20674523568264	0.0427435924774691	0.0262391716581153	-29887.5262112403	139.54811862303	139.545883217144	-139.545883217144	0.0342497796174787	0.79323915520562	0.656929043319591	-0.0730751873577911	-0.840292294755598	4	-0.0984156617647071	0.0188878844147043	2	
433318112555001	43.55515	-112.9315944	141.639273066667	4.34054414373112	0.401273169137809	0.161020156269897	0.141508997113383	-52079.4132797674	137.399387500797	137.398255034542	-137.398255034542	0.114168283787332	0.566660836802486	0.492342149611744	-0.0995261116065328	-0.820825309940656	4	0.034436538461556	0.0333665467509303	2	
433320112554101	43.555525	-112.9289944	141.317423619048	4.34054414373112	0.0730615214756961	0.00533798592034354	-0.0109679487367	-28817.3170901292	137.046290184337	137.043894946095	-137.043894946095	-0.0142314246533244	0.813020520395037	0.676977809895388	-0.0670154707782982	-0.857673575248492	4	-0.0979033288235326	0.019937451949546	2	
433326112564801	43.557075	-112.9475333	142.581886309091	4.59987817021362	0.627289737708879	0.393492415034874	0.390710270149713	-31616.6635220913	137.952589960242	137.950655314669	-137.950655314669	0.111561561952659	0.731271489626226	0.637452514097188	0.0313528242080185	-0.860093940587458	2	-0.00707444630665701	0.00607716267108109	2	
433330112565201	43.55826944	-112.948461	144.380799085714	4.59987817021362	0.875619296072752	0.766709151654943	0.759639732008123	-28559.0388621082	139.966732657635	139.964721233518	-139.964721233518	0.129899205227346	0.7725564278797	0.624467206955737	-0.183800318017318	-0.831637614196832	2	-0.0432096333333334	-0.0129302875244575	2	
